X,Y,FID,id,modified,language,bibliographicCitation,institutionCode,collectionCode,datasetName,basisOfRecord,dynamicProperties,catalogNumber,occurrenceRemarks,individualCount,sex,lifeStage,occurrenceStatus,associatedTaxa,eventID,samplingProtocol,eventDate,startDayOfYear,year,month,day,fieldNumber,waterBody,country,stateProvince,county,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,identifiedBy,typeStatus,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
-177.47,-12.44,40,505,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn 542 Anthemiphyllia patera costata,,,,,Present,,,,1992-05-17,138,1992,5,17,MUSORSTOM 7 'Alis' Stn 542,Pacific Ocean,,,,Combe Bank,370,370,-12.44,-177.47,WGS84,500,POINT (-177.47 -12.44),,,urn:lsid:marinespecies.org:taxname:289417,Anthemiphyllia patera costata,Animalia,Cnidaria,Anthozoa,Scleractinia,Anthemiphylliidae,Anthemiphyllia,,patera,costata,"Cairns, 1999"
-178.3033,-11.8017,41,36,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  557 Conotrochus funicolumna,,,,,Present,,,,1992-05-19,140,1992,5,19,MUSORSTOM 7 'Alis' Stn  557,Pacific Ocean,,,,Tuscarora Bank,600,608,-11.8017,-178.3033,WGS84,500,POINT (-178.3033 -11.8017),,,urn:lsid:marinespecies.org:taxname:289706,Conotrochus funicolumna,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Conotrochus,,funicolumna,,"(Alcock, 1902)"
-177.47,-12.44,42,506,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn 542 Anthemiphyllia spinifera,,,,,Present,,,,1992-05-17,138,1992,5,17,MUSORSTOM 7 'Alis' Stn 542,Pacific Ocean,,,,Combe Bank,370,370,-12.44,-177.47,WGS84,500,POINT (-177.47 -12.44),,,urn:lsid:marinespecies.org:taxname:289419,Anthemiphyllia spinifera,Animalia,Cnidaria,Anthozoa,Scleractinia,Anthemiphylliidae,Anthemiphyllia,,spinifera,,"Cairns, 1999"
-178.3033,-11.8017,43,37,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  557 Lochmaeotrochus gardineri,,,,,Present,,,,1992-05-19,140,1992,5,19,MUSORSTOM 7 'Alis' Stn  557,Pacific Ocean,,,,Tuscarora Bank,600,608,-11.8017,-178.3033,WGS84,500,POINT (-178.3033 -11.8017),,,urn:lsid:marinespecies.org:taxname:290316,Lochmaeotrochus gardineri,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Lochmaeotrochus,,gardineri,,"Cairns, 1999"
-177.47,-12.44,44,507,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn 542 Crispatotrochus rugosus,,,,,Present,,,,1992-05-17,138,1992,5,17,MUSORSTOM 7 'Alis' Stn 542,Pacific Ocean,,,,Combe Bank,370,370,-12.44,-177.47,WGS84,500,POINT (-177.47 -12.44),,,urn:lsid:marinespecies.org:taxname:289744,Crispatotrochus rugosus,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Crispatotrochus,,rugosus,,"Cairns, 1995"
-178.3333,-11.7833,45,38,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  560 Deltocyathus taiwanicus,,,,,Present,,,,1992-05-19,140,1992,5,19,MUSORSTOM 7 'Alis' Stn  560,Pacific Ocean,,,,Tuscarora Bank,697,702,-11.7833,-178.3333,WGS84,500,POINT (-178.3333 -11.7833),,,urn:lsid:marinespecies.org:taxname:286808,Deltocyathus taiwanicus,Animalia,Cnidaria,Anthozoa,Scleractinia,Deltocyathidae,Deltocyathus,,taiwanicus,,"Hu, 1987"
-177.47,-12.44,46,508,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn 542 Deltocyathus taiwanicus,,,,,Present,,,,1992-05-17,138,1992,5,17,MUSORSTOM 7 'Alis' Stn 542,Pacific Ocean,,,,Combe Bank,370,370,-12.44,-177.47,WGS84,500,POINT (-177.47 -12.44),,,urn:lsid:marinespecies.org:taxname:286808,Deltocyathus taiwanicus,Animalia,Cnidaria,Anthozoa,Scleractinia,Deltocyathidae,Deltocyathus,,taiwanicus,,"Hu, 1987"
-177.47,-12.44,47,509,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn 542 Deltocyathus cameratus,,,,,Present,,,,1992-05-17,138,1992,5,17,MUSORSTOM 7 'Alis' Stn 542,Pacific Ocean,,,,Combe Bank,370,370,-12.44,-177.47,WGS84,500,POINT (-177.47 -12.44),,,urn:lsid:marinespecies.org:taxname:286792,Deltocyathus cameratus,Animalia,Cnidaria,Anthozoa,Scleractinia,Deltocyathidae,Deltocyathus,,cameratus,,"Cairns, 1999"
-177.47,-12.44,48,510,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn 542 Conotrochus funicolumna,,,,,Present,,,,1992-05-17,138,1992,5,17,MUSORSTOM 7 'Alis' Stn 542,Pacific Ocean,,,,Combe Bank,370,370,-12.44,-177.47,WGS84,500,POINT (-177.47 -12.44),,,urn:lsid:marinespecies.org:taxname:289706,Conotrochus funicolumna,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Conotrochus,,funicolumna,,"(Alcock, 1902)"
-177.47,-12.44,49,511,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn 542 Flabellum (Flabellum) arcuatile,,,,,Present,,,,1992-05-17,138,1992,5,17,MUSORSTOM 7 'Alis' Stn 542,Pacific Ocean,,,,Combe Bank,370,370,-12.44,-177.47,WGS84,500,POINT (-177.47 -12.44),,,urn:lsid:marinespecies.org:taxname:287000,Flabellum (Flabellum) arcuatile,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Flabellum,Flabellum,arcuatile,,"Cairns, 1999"
-177.485,-12.4483,50,512,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn 546 Fungiacyathus (Bathyactis) margaretae,,,,,Present,,,,1992-05-17,138,1992,5,17,MUSORSTOM 7 'Alis' Stn 546,Pacific Ocean,,,,Combe Bank,550,552,-12.4483,-177.485,WGS84,500,POINT (-177.485 -12.4483),,,urn:lsid:marinespecies.org:taxname:287078,Fungiacyathus (Bathyactis) margaretae,Animalia,Cnidaria,Anthozoa,Scleractinia,Fungiacyathidae,Fungiacyathus,Bathyactis,margaretae,,"Cairns, 1995"
