X,Y,FID,id,modified,language,bibliographicCitation,institutionCode,collectionCode,datasetName,basisOfRecord,dynamicProperties,catalogNumber,occurrenceRemarks,individualCount,sex,lifeStage,occurrenceStatus,associatedTaxa,eventID,samplingProtocol,eventDate,startDayOfYear,year,month,day,fieldNumber,waterBody,country,stateProvince,county,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,identifiedBy,typeStatus,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
-176.21,-13.17,277,94,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  585 Madrepora oculata f. formosa,,,,,Present,,,,1992-05-22,143,1992,5,22,MUSORSTOM 7 'Alis' Stn  585,Pacific Ocean,,,,North of Wallis,415,475,-13.17,-176.21,WGS84,500,POINT (-176.21 -13.17),,,urn:lsid:marinespecies.org:taxname:135209,Madrepora oculata f. formosa,Animalia,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Madrepora,,oculata,,"Linnaeus, 1758"
-176.21,-13.17,278,95,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  585 Anthemiphyllia dentata,,,,,Present,,,,1992-05-22,143,1992,5,22,MUSORSTOM 7 'Alis' Stn  585,Pacific Ocean,,,,North of Wallis,415,475,-13.17,-176.21,WGS84,500,POINT (-176.21 -13.17),,,urn:lsid:marinespecies.org:taxname:289412,Anthemiphyllia dentata,Animalia,Cnidaria,Anthozoa,Scleractinia,Anthemiphylliidae,Anthemiphyllia,,dentata,,"(Alcock, 1902)"
-174.31,-12.5233,279,152,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  597 Deltocyathus cameratus,,,,,Present,,,,1992-05-24,145,1992,5,24,MUSORSTOM 7 'Alis' Stn  597,Pacific Ocean,,,,Field Bank,469,475,-12.5233,-174.31,WGS84,500,POINT (-174.31 -12.5233),,,urn:lsid:marinespecies.org:taxname:286792,Deltocyathus cameratus,Animalia,Cnidaria,Anthozoa,Scleractinia,Deltocyathidae,Deltocyathus,,cameratus,,"Cairns, 1999"
168.4167,-17.8833,280,595,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 8 'Alis' Stn 1018 Stephanophyllia complicata,,,,,Present,,,,1994-09-27,270,1994,9,27,MUSORSTOM 8 'Alis' Stn 1018,Pacific Ocean,,,,Efaté,300,301,-17.8833,168.4167,WGS84,500,POINT (168.4167 -17.8833),,,urn:lsid:marinespecies.org:taxname:291124,Stephanophyllia complicata,Animalia,Cnidaria,Anthozoa,Scleractinia,Micrabaciidae,Stephanophyllia,,complicata,,"Moseley, 1876"
-176.21,-13.17,281,96,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  585 Caryophyllia (Caryophyllia) marmorea,,,,,Present,,,,1992-05-22,143,1992,5,22,MUSORSTOM 7 'Alis' Stn  585,Pacific Ocean,,,,North of Wallis,415,475,-13.17,-176.21,WGS84,500,POINT (-176.21 -13.17),,,urn:lsid:marinespecies.org:taxname:286752,Caryophyllia (Caryophyllia) marmorea,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia,marmorea,,"Cairns, 1984"
-174.31,-12.5233,282,153,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  597 Conotrochus brunneus,,,,,Present,,,,1992-05-24,145,1992,5,24,MUSORSTOM 7 'Alis' Stn  597,Pacific Ocean,,,,Field Bank,469,475,-12.5233,-174.31,WGS84,500,POINT (-174.31 -12.5233),,,urn:lsid:marinespecies.org:taxname:289705,Conotrochus brunneus,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Conotrochus,,brunneus,,"(Moseley, 1881)"
168.4167,-17.8833,283,596,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 8 'Alis' Stn 1018 ?Caryophyllia (Caryophyllia) lamellifera,,,,,Present,,,,1994-09-27,270,1994,9,27,MUSORSTOM 8 'Alis' Stn 1018,Pacific Ocean,,,,Efaté,300,301,-17.8833,168.4167,WGS84,500,POINT (168.4167 -17.8833),,,urn:lsid:marinespecies.org:taxname:509666,?Caryophyllia (Caryophyllia) lamellifera,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia,,,"Lamarck, 1801"
-176.21,-13.17,284,97,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  585 Crispatotrochus rubescens,,,,,Present,,,,1992-05-22,143,1992,5,22,MUSORSTOM 7 'Alis' Stn  585,Pacific Ocean,,,,North of Wallis,415,475,-13.17,-176.21,WGS84,500,POINT (-176.21 -13.17),,,urn:lsid:marinespecies.org:taxname:289743,Crispatotrochus rubescens,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Crispatotrochus,,rubescens,,"(Moseley, 1881)"
-174.3067,-12.5083,285,154,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  598 Madrepora oculata f. tenuis,,,,,Present,,,,1992-05-24,145,1992,5,24,MUSORSTOM 7 'Alis' Stn  598,Pacific Ocean,,,,Field Bank,702,708,-12.5083,-174.3067,WGS84,500,POINT (-174.3067 -12.5083),,,urn:lsid:marinespecies.org:taxname:135209,Madrepora oculata f. tenuis,Animalia,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Madrepora,,oculata,,"Linnaeus, 1758"
168.4167,-17.8833,286,597,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 8 'Alis' Stn 1018 Crispatotrochus rugosus,,,,,Present,,,,1994-09-27,270,1994,9,27,MUSORSTOM 8 'Alis' Stn 1018,Pacific Ocean,,,,Efaté,300,301,-17.8833,168.4167,WGS84,500,POINT (168.4167 -17.8833),,,urn:lsid:marinespecies.org:taxname:289744,Crispatotrochus rugosus,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Crispatotrochus,,rugosus,,"Cairns, 1995"
-176.21,-13.17,287,98,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  585 Bourneotrochus stellulatus,,,,,Present,,,,1992-05-22,143,1992,5,22,MUSORSTOM 7 'Alis' Stn  585,Pacific Ocean,,,,North of Wallis,415,475,-13.17,-176.21,WGS84,500,POINT (-176.21 -13.17),,,urn:lsid:marinespecies.org:taxname:289532,Bourneotrochus stellulatus,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Bourneotrochus,,stellulatus,,"(Cairns, 1984)"
-174.3067,-12.5083,288,155,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  598 Caryophyllia (Caryophyllia) ambrosia,,,,,Present,,,,1992-05-24,145,1992,5,24,MUSORSTOM 7 'Alis' Stn  598,Pacific Ocean,,,,Field Bank,702,708,-12.5083,-174.3067,WGS84,500,POINT (-174.3067 -12.5083),,,urn:lsid:marinespecies.org:taxname:135135,Caryophyllia (Caryophyllia) ambrosia,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia,ambrosia,,"Alcock, 1898"
168.4167,-17.8833,289,598,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 8 'Alis' Stn 1018 Oxysmilia epithecata,,,,,Present,,,,1994-09-27,270,1994,9,27,MUSORSTOM 8 'Alis' Stn 1018,Pacific Ocean,,,,Efaté,300,301,-17.8833,168.4167,WGS84,500,POINT (168.4167 -17.8833),,,urn:lsid:marinespecies.org:taxname:290564,Oxysmilia epithecata,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Oxysmilia,,epithecata,,"Cairns, 1999"
-176.21,-13.17,290,99,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  585 Stephanocyathus (Acinocyathus) spiniger,,,,,Present,,,,1992-05-22,143,1992,5,22,MUSORSTOM 7 'Alis' Stn  585,Pacific Ocean,,,,North of Wallis,415,475,-13.17,-176.21,WGS84,500,POINT (-176.21 -13.17),,,urn:lsid:marinespecies.org:taxname:286859,Stephanocyathus (Acinocyathus) spiniger,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Stephanocyathus,Acinocyathus,spiniger,,"(Marenzeller, 1888)"
-176.2867,-13.3117,291,156,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  601 Madrepora oculata f. formosa,,,,,Present,,,,1992-05-25,146,1992,5,25,MUSORSTOM 7 'Alis' Stn  601,Pacific Ocean,,,,SE of Wallis,350,350,-13.3117,-176.2867,WGS84,500,POINT (-176.2867 -13.3117),,,urn:lsid:marinespecies.org:taxname:135209,Madrepora oculata f. formosa,Animalia,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Madrepora,,oculata,,"Linnaeus, 1758"
-176.21,-13.17,292,100,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  585 Deltocyathus taiwanicus,,,,,Present,,,,1992-05-22,143,1992,5,22,MUSORSTOM 7 'Alis' Stn  585,Pacific Ocean,,,,North of Wallis,415,475,-13.17,-176.21,WGS84,500,POINT (-176.21 -13.17),,,urn:lsid:marinespecies.org:taxname:286808,Deltocyathus taiwanicus,Animalia,Cnidaria,Anthozoa,Scleractinia,Deltocyathidae,Deltocyathus,,taiwanicus,,"Hu, 1987"
-176.2867,-13.3117,293,157,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  601 Truncatoflabellum mortenseni,,,,,Present,,,,1992-05-25,146,1992,5,25,MUSORSTOM 7 'Alis' Stn  601,Pacific Ocean,,,,SE of Wallis,350,350,-13.3117,-176.2867,WGS84,500,POINT (-176.2867 -13.3117),,,urn:lsid:marinespecies.org:taxname:287060,Truncatoflabellum mortenseni,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Truncatoflabellum,,mortenseni,,"Cairns & Zibrowius, 1997"
168.4167,-17.8833,294,599,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 8 'Alis' Stn 1018 Deltocyathus ornatus,,,,,Present,,,,1994-09-27,270,1994,9,27,MUSORSTOM 8 'Alis' Stn 1018,Pacific Ocean,,,,Efaté,300,301,-17.8833,168.4167,WGS84,500,POINT (168.4167 -17.8833),,,urn:lsid:marinespecies.org:taxname:286800,Deltocyathus ornatus,Animalia,Cnidaria,Anthozoa,Scleractinia,Deltocyathidae,Deltocyathus,,ornatus,,"Gardiner, 1899"
-176.2867,-13.3117,295,158,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  601 Balanophyllia (Balanophyllia) desmophyllioides,,,,,Present,,,,1992-05-25,146,1992,5,25,MUSORSTOM 7 'Alis' Stn  601,Pacific Ocean,,,,SE of Wallis,350,350,-13.3117,-176.2867,WGS84,500,POINT (-176.2867 -13.3117),,,urn:lsid:marinespecies.org:taxname:286915,Balanophyllia (Balanophyllia) desmophyllioides,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia,desmophyllioides,,"Vaughan, 1907"
168.4167,-17.8833,296,600,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 8 'Alis' Stn 1018 Bourneotrochus stellulatus,,,,,Present,,,,1994-09-27,270,1994,9,27,MUSORSTOM 8 'Alis' Stn 1018,Pacific Ocean,,,,Efaté,300,301,-17.8833,168.4167,WGS84,500,POINT (168.4167 -17.8833),,,urn:lsid:marinespecies.org:taxname:289532,Bourneotrochus stellulatus,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Bourneotrochus,,stellulatus,,"(Cairns, 1984)"
-176.1383,-13.3567,297,159,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  604 Caryophyllia (Caryophyllia) abrupta,,,,,Present,,,,1992-05-26,147,1992,5,26,MUSORSTOM 7 'Alis' Stn  604,Pacific Ocean,,,,SE of Wallis,415,420,-13.3567,-176.1383,WGS84,500,POINT (-176.1383 -13.3567),,,urn:lsid:marinespecies.org:taxname:286723,Caryophyllia (Caryophyllia) abrupta,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia,abrupta,,"Cairns, 1999"
-176.1383,-13.3567,298,160,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  604 Crispatotrochus rubescens,,,,,Present,,,,1992-05-26,147,1992,5,26,MUSORSTOM 7 'Alis' Stn  604,Pacific Ocean,,,,SE of Wallis,415,420,-13.3567,-176.1383,WGS84,500,POINT (-176.1383 -13.3567),,,urn:lsid:marinespecies.org:taxname:289743,Crispatotrochus rubescens,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Crispatotrochus,,rubescens,,"(Moseley, 1881)"
-176.1383,-13.3567,299,161,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  604 Bourneotrochus stellulatus,,,,,Present,,,,1992-05-26,147,1992,5,26,MUSORSTOM 7 'Alis' Stn  604,Pacific Ocean,,,,SE of Wallis,415,420,-13.3567,-176.1383,WGS84,500,POINT (-176.1383 -13.3567),,,urn:lsid:marinespecies.org:taxname:289532,Bourneotrochus stellulatus,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Bourneotrochus,,stellulatus,,"(Cairns, 1984)"
-176.1383,-13.3567,300,162,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  604 Stephanocyathus (Acinocyathus) spiniger,,,,,Present,,,,1992-05-26,147,1992,5,26,MUSORSTOM 7 'Alis' Stn  604,Pacific Ocean,,,,SE of Wallis,415,420,-13.3567,-176.1383,WGS84,500,POINT (-176.1383 -13.3567),,,urn:lsid:marinespecies.org:taxname:286859,Stephanocyathus (Acinocyathus) spiniger,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Stephanocyathus,Acinocyathus,spiniger,,"(Marenzeller, 1888)"
-176.1383,-13.3567,301,163,2015/04/30 12:00:00,en,"Cairns, S.D. 1999. Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands. In: A. Crosnier (ed.)Résultats des Campagnes MUSORSTOM, Vol 20. Mémoires du Muséum national d'Histoire naturelle, 180: 31-167. Paris ISBN 2-85653-520-8",MNHN,"Deep-water Scleractinia from Vanuatu, and Wallis and Futuna Islands","Cnidaria Anthozoa: Deep-water azooxanthellate Scleractinia from Vanuatu, and Wallis and Futuna Islands",HumanObservation,,MUSORSTOM 7 'Alis' Stn  604 Deltocyathus crassiseptum,,,,,Present,,,,1992-05-26,147,1992,5,26,MUSORSTOM 7 'Alis' Stn  604,Pacific Ocean,,,,SE of Wallis,415,420,-13.3567,-176.1383,WGS84,500,POINT (-176.1383 -13.3567),,,urn:lsid:marinespecies.org:taxname:286794,Deltocyathus crassiseptum,Animalia,Cnidaria,Anthozoa,Scleractinia,Deltocyathidae,Deltocyathus,,crassiseptum,,"Cairns, 1999"
