FID,OperatorNa,Shape_Leng
5482,ONEOK Gas Transportation LLC,0.026212
5483,Atmos Pipeline - Texas,0.485161
5484,Enbridge Pipelines (East Texas),0.042033
5485,ONEOK Gas Transportation LLC,0.002035
5486,Atmos Pipeline - Texas,0.190805
5487,Enbridge Pipelines (East Texas),0.015676
5488,Atmos Pipeline - Texas,0.034713
5489,ONEOK Gas Transportation LLC,0.011496
5490,Enbridge Pipelines (East Texas),0.070651
5491,Atmos Pipeline - Texas,0.111001
5492,Atmos Pipeline - Texas,0.28618
5493,ONEOK Gas Transportation LLC,0.044983
5494,Enbridge Pipelines (East Texas),0.110074
5495,Atmos Pipeline - Texas,0.303303
5496,Atmos Pipeline - Texas,0.071906
5497,ONEOK Gas Transportation LLC,0.097701
5498,Enbridge Pipelines (East Texas),0.002004
5499,Atmos Pipeline - Texas,0.016167
5500,Atmos Pipeline - Texas,0.192392
5501,Enbridge Pipelines (East Texas),0.007482
5502,ONEOK Gas Transportation LLC,0.133293
5503,Atmos Pipeline - Texas,0.134384
5504,Atmos Pipeline - Texas,0.090719
5505,Enbridge Pipelines (East Texas),0.100368
5506,Atmos Pipeline - Texas,0.029035
5507,Atmos Pipeline - Texas,0.627115
5508,Atmos Pipeline - Texas,0.111422
5509,Enbridge Pipelines (East Texas),0.079982
5510,ONEOK Gas Transportation LLC,0.111622
5511,Atmos Pipeline - Texas,0.2459
5512,ONEOK Gas Transportation LLC,0.123316
5513,Atmos Pipeline - Texas,0.444469
5514,ONEOK Gas Transportation LLC,0.261698
5515,Atmos Pipeline - Texas,0.404608
5516,Atmos Pipeline - Texas,0.053387
5517,ONEOK Gas Transportation LLC,0.220338
5518,Atmos Pipeline - Texas,0.146787
5519,Atmos Pipeline - Texas,0.561414
5520,ONEOK Gas Transportation LLC,0.180572
5521,Atmos Pipeline - Texas,0.044235
5522,Atmos Pipeline - Texas,0.541577
5523,ONEOK Gas Transportation LLC,0.052327
5524,Atmos Pipeline - Texas,0.601779
5525,Atmos Pipeline - Texas,0.432812
5526,ONEOK Gas Transportation LLC,0.070526
5527,Atmos Pipeline - Texas,0.200272
5528,Atmos Pipeline - Texas,0.209818
5529,ONEOK Gas Transportation LLC,0.033208
5530,Atmos Pipeline - Texas,0.045227
5531,ONEOK Gas Transportation LLC,0.058606
5532,Atmos Pipeline - Texas,0.177441
5533,Atmos Pipeline - Texas,0.078701
5534,ONEOK Gas Transportation LLC,0.011787
5535,Atmos Pipeline - Texas,0.194294
5536,ONEOK Gas Transportation LLC,0.049363
5537,Atmos Pipeline - Texas,0.007084
5538,Atmos Pipeline - Texas,0.320686
5539,ONEOK Gas Transportation LLC,0.10938
5540,Natural Gas PL Co of Am,0.503432
5541,Atmos Pipeline - Texas,0.507556
5542,ONEOK Gas Transportation LLC,0.176869
5543,Natural Gas PL Co of Am,0.07254
5544,Atmos Pipeline - Texas,0.002417
5545,ONEOK Gas Transportation LLC,0.037773
5546,Natural Gas PL Co of Am,0.427737
5547,Atmos Pipeline - Texas,0.233377
5548,ONEOK Gas Transportation LLC,0.117299
5549,Natural Gas PL Co of Am,0.137092
5550,Atmos Pipeline - Texas,0.06049
5551,Natural Gas PL Co of Am,0.098523
5552,Atmos Pipeline - Texas,0.157984
5553,ONEOK Gas Transportation LLC,0.603457
5554,Natural Gas PL Co of Am,0.118166
5555,Enbridge Pipelines (East Texas),0.042999
5556,Atmos Pipeline - Texas,0.122444
5557,Natural Gas PL Co of Am,0.197517
5558,Enbridge Pipelines (East Texas),0.214625
5559,CenterPoint Energy GasTrans Co,0.111831
5560,Atmos Pipeline - Texas,0.07765
5561,Natural Gas PL Co of Am,0.098469
5562,Enbridge Pipelines (East Texas),0.032258
5563,CenterPoint Energy GasTrans Co,0.183409
5564,Atmos Pipeline - Texas,0.074482
5565,Natural Gas PL Co of Am,0.20288
5566,CenterPoint Energy GasTrans Co,0.001118
5567,Enbridge Pipelines (East Texas),0.000144
5568,Atmos Pipeline - Texas,0.070487
5569,Natural Gas PL Co of Am,0.106903
5570,CenterPoint Energy GasTrans Co,0.00087
5571,Energy Transfer LP,0.58287
5572,Atmos Pipeline - Texas,0.086507
5573,Natural Gas PL Co of Am,0.352645
5574,CenterPoint Energy GasTrans Co,0.000913
5575,Atmos Pipeline - Texas,0.141741
5576,Energy Transfer LP,0.227367
5577,Natural Gas PL Co of Am,0.073677
5578,CenterPoint Energy GasTrans Co,0.03305
5579,Atmos Pipeline - Texas,0.179898
5580,Natural Gas PL Co of Am,0.047344
5581,Energy Transfer LP,0.235701
5582,CenterPoint Energy GasTrans Co,0.188013
5583,Atmos Pipeline - Texas,0.179374
5584,Natural Gas PL Co of Am,0.156396
5585,Energy Transfer LP,0.174554
5586,CenterPoint Energy GasTrans Co,0.219901
5587,Atmos Pipeline - Texas,0.244461
5588,Natural Gas PL Co of Am,0.191753
5589,Energy Transfer LP,0.865085
5590,Atmos Pipeline - Texas,0.004962
5591,CenterPoint Energy GasTrans Co,0.06661
5592,Natural Gas PL Co of Am,0.142592
5593,Energy Transfer LP,0.281716
5594,Atmos Pipeline - Texas,0.209538
5595,CenterPoint Energy GasTrans Co,0.017734
5596,Natural Gas PL Co of Am,0.269594
5597,Atmos Pipeline - Texas,0.165702
5598,CenterPoint Energy GasTrans Co,0.020627
5599,Energy Transfer LP,0.261187
5600,Natural Gas PL Co of Am,0.079488
5601,Energy Transfer LP,0.10678
5602,Atmos Pipeline - Texas,0.491829
5603,CenterPoint Energy GasTrans Co,0.084557
5604,Natural Gas PL Co of Am,0.064853
5605,Energy Transfer LP,0.394673
5606,Atmos Pipeline - Texas,0.226436
5607,CenterPoint Energy GasTrans Co,0.051153
5608,Atmos Pipeline - Texas,0.05277
5609,Energy Transfer LP,1.048419
5610,Natural Gas PL Co of Am,0.273146
5611,Atmos Pipeline - Texas,0.158907
5612,Tennessee Gas Pipeline,0.096402
5613,Natural Gas PL Co of Am,0.21993
5614,Energy Transfer LP,1.081522
5615,Atmos Pipeline - Texas,0.097436
5616,Tennessee Gas Pipeline,0.041718
5617,Natural Gas PL Co of Am,0.040981
5618,Energy Transfer LP,0.419189
5619,Atmos Pipeline - Texas,0.328033
5620,Tennessee Gas Pipeline,0.055582
5621,Natural Gas PL Co of Am,0.031865
5622,Energy Transfer LP,0.139813
5623,Atmos Pipeline - Texas,0.480213
5624,Tennessee Gas Pipeline,0.106875
5625,Northern Natural Gas Co,0.494643
5626,Tennessee Gas Pipeline,0.069957
5627,Atmos Pipeline - Texas,0.086164
5628,Northern Natural Gas Co,0.528147
5629,Tennessee Gas Pipeline,0.115743
5630,Atmos Pipeline - Texas,0.07563
5631,Northern Natural Gas Co,0.390928
5632,Tennessee Gas Pipeline,0.077397
5633,Northern Natural Gas Co,0.169083
5634,Tennessee Gas Pipeline,0.016504
5635,Tennessee Gas Pipeline,0.072957
5636,Northern Natural Gas Co,0.514175
5637,Tennessee Gas Pipeline,0.1143
5638,Northern Natural Gas Co,0.150886
5639,Northern Natural Gas Co,0.023678
5640,Tennessee Gas Pipeline,0.046346
5641,Northern Natural Gas Co,0.062539
5642,Tennessee Gas Pipeline,0.029593
5643,Northern Natural Gas Co,0.056956
5644,Tennessee Gas Pipeline,0.097009
5645,Oasis Gas Pipeline Co,0.022572
5646,Tennessee Gas Pipeline,0.109948
5647,Oasis Gas Pipeline Co,0.419611
5648,Tennessee Gas Pipeline,0.114097
5649,Oasis Gas Pipeline Co,0.058284
5650,Tennessee Gas Pipeline,0.086517
5651,Oasis Gas Pipeline Co,0.613633
5652,Tennessee Gas Pipeline,0.040925
5653,Oasis Gas Pipeline Co,0.052498
5654,Tennessee Gas Pipeline,0.045991
5655,Oasis Gas Pipeline Co,0.047471
5656,Oasis Gas Pipeline Co,0.143459
5657,Tennessee Gas Pipeline,0.076228
5658,Tennessee Gas Pipeline,0.077929
5659,Tennessee Gas Pipeline,0.047229
5660,Oasis Gas Pipeline Co,0.362733
5661,Tennessee Gas Pipeline,0.077966
5662,Oasis Gas Pipeline Co,0.124633
5663,Tennessee Gas Pipeline,0.112256
5664,Oasis Gas Pipeline Co,0.179274
5665,Tennessee Gas Pipeline,0.117535
5666,Tennessee Gas Pipeline,0.041747
5667,Tennessee Gas Pipeline,0.076223
5668,Tennessee Gas Pipeline,0.010679
5669,Tennessee Gas Pipeline,0.049946
5670,Tennessee Gas Pipeline,0.088797
5671,Tennessee Gas Pipeline,0.047339
5672,Tennessee Gas Pipeline,0.025541
5673,Tennessee Gas Pipeline,0.07943
5674,Tennessee Gas Pipeline,0.0951
5675,Tennessee Gas Pipeline,0.038544
5676,Tennessee Gas Pipeline,0.054608
5677,Tennessee Gas Pipeline,0.146613
5678,Tennessee Gas Pipeline,0.084674
5679,Tennessee Gas Pipeline,0.065775
5680,Tennessee Gas Pipeline,0.126334
5681,Tennessee Gas Pipeline,0.098905
5682,Tennessee Gas Pipeline,0.107386
5683,Tennessee Gas Pipeline,0.04411
5684,Tennessee Gas Pipeline,0.149431
5685,Tennessee Gas Pipeline,0.052769
5686,Tennessee Gas Pipeline,0.079324
5687,Tennessee Gas Pipeline,0.084581
5688,Tennessee Gas Pipeline,0.109464
5689,Tennessee Gas Pipeline,0.12833
5690,Tennessee Gas Pipeline,0.045012
5691,Tennessee Gas Pipeline,0.124762
5692,Tennessee Gas Pipeline,0.077056
5693,Tennessee Gas Pipeline,0.151346
5694,Tennessee Gas Pipeline,0.050525
5695,Tennessee Gas Pipeline,0.080934
5696,Tennessee Gas Pipeline,0.045626
5697,Tennessee Gas Pipeline,0.198224
5698,Tennessee Gas Pipeline,0.141956
5699,El Paso Texas Pipeline Co,0.129458
5700,Tennessee Gas Pipeline,0.040192
5701,Tennessee Gas Pipeline,0.165969
5702,Tennessee Gas Pipeline,0.024331
5703,Tennessee Gas Pipeline,0.021659
5704,El Paso Texas Pipeline Co,3.34871
5705,Tennessee Gas Pipeline,0.206137
5706,Tennessee Gas Pipeline,0.079428
5707,Tennessee Gas Pipeline,0.047177
5708,El Paso Texas Pipeline Co,0.314022
5709,Tennessee Gas Pipeline,0.069985
5710,El Paso Texas Pipeline Co,0.045457
5711,Tennessee Gas Pipeline,0.098978
5712,El Paso Texas Pipeline Co,0.165248
5713,Tennessee Gas Pipeline,0.068333
5714,El Paso Texas Pipeline Co,0.027794
5715,Tennessee Gas Pipeline,0.028528
5716,El Paso Texas Pipeline Co,0.256304
5717,Tennessee Gas Pipeline,0.110957
5718,El Paso Texas Pipeline Co,0.242731
5719,Tennessee Gas Pipeline,0.023419
5720,El Paso Texas Pipeline Co,0.05786
5721,Tennessee Gas Pipeline,0.03018
5722,El Paso Texas Pipeline Co,0.135032
5723,Tennessee Gas Pipeline,0.064295
5724,El Paso Texas Pipeline Co,0.05186
5725,Tennessee Gas Pipeline,0.01564
5726,Tennessee Gas Pipeline,0.030291
5727,El Paso Texas Pipeline Co,0.125523
5728,Tennessee Gas Pipeline,0.084621
5729,El Paso Texas Pipeline Co,0.052198
5730,Tennessee Gas Pipeline,0.021185
5731,El Paso Texas Pipeline Co,0.372221
5732,Tennessee Gas Pipeline,0.030057
5733,El Paso Texas Pipeline Co,0.020325
5734,Tennessee Gas Pipeline,0.083085
5735,El Paso Texas Pipeline Co,0.021891
5736,Tennessee Gas Pipeline,0.08459
5737,El Paso Texas Pipeline Co,0.449955
5738,Tennessee Gas Pipeline,0.011608
5739,El Paso Texas Pipeline Co,0.18378
5740,Tennessee Gas Pipeline,0.049715
5741,El Paso Texas Pipeline Co,0.435723
5742,Tennessee Gas Pipeline,0.019828
5743,Florida Gas Trans Co,0.13416
5744,Tennessee Gas Pipeline,0.052629
5745,Florida Gas Trans Co,0.119181
5746,Tennessee Gas Pipeline,0.033442
5747,Florida Gas Trans Co,0.19281
5748,Tennessee Gas Pipeline,0.058869
5749,Florida Gas Trans Co,0.335754
5750,Tennessee Gas Pipeline,0.050979
5751,Florida Gas Trans Co,0.479624
5752,Tennessee Gas Pipeline,0.191929
5753,Florida Gas Trans Co,0.21489
5754,Texas Eastern Trans Co,0.217481
5755,Florida Gas Trans Co,0.1602
5756,Texas Eastern Trans Co,0.503687
5757,Florida Gas Trans Co,0.117585
5758,Texas Eastern Trans Co,0.057276
5759,Florida Gas Trans Co,0.012908
5760,Texas Eastern Trans Co,0.369161
5761,Florida Gas Trans Co,0.110028
5762,Texas Eastern Trans Co,0.102531
5763,Florida Gas Trans Co,0.062308
5764,Texas Eastern Trans Co,0.120795
5765,Florida Gas Trans Co,0.210701
5766,Texas Eastern Trans Co,0.014603
5767,Florida Gas Trans Co,0.262205
5768,Texas Eastern Trans Co,0.116482
5769,Florida Gas Trans Co,0.011618
5770,Texas Eastern Trans Co,0.091527
5771,Florida Gas Trans Co,0.397321
5772,Texas Eastern Trans Co,0.065668
5773,Florida Gas Trans Co,0.21136
5774,Texas Eastern Trans Co,0.612076
5775,Florida Gas Trans Co,0.106413
5776,Texas Eastern Trans Co,0.318427
5777,Gulf South Pipeline Co,0.519019
5778,Texas Eastern Trans Co,0.194003
5779,Gulf South Pipeline Co,0.448384
5780,Texas Eastern Trans Co,0.156625
5781,Gulf South Pipeline Co,0.559953
5782,Texas Eastern Trans Co,0.01271
5783,Gulf South Pipeline Co,0.294885
5784,Gulf South Pipeline Co,0.076345
5785,Texas Eastern Trans Co,0.02042
5786,Texas Eastern Trans Co,0.082962
5787,Gulf South Pipeline Co,0.422187
5788,TransOk Pipeline Co,0.10712
5789,TransOk Pipeline Co,0.090727
5790,Gulf South Pipeline Co,0.018007
5791,TransOk Pipeline Co,0.130153
5792,Gulf South Pipeline Co,0.023577
5793,TransOk Pipeline Co,0.239924
5794,Gulf South Pipeline Co,0.1219
5795,TransOk Pipeline Co,0.041279
5796,Gulf South Pipeline Co,0.157872
5797,TransOk Pipeline Co,0.257761
5798,Houston Pipeline Co,0.011787
5799,TransOk Pipeline Co,0.368685
5800,Houston Pipeline Co,0.009146
5801,TransOk Pipeline Co,0.311006
5802,Houston Pipeline Co,0.004407
5803,Trunkline Gas Co,0.243158
5804,Houston Pipeline Co,0.008816
5805,Transcontinental Gas PL,0.270777
5806,Houston Pipeline Co,0.01603
5807,Transcontinental Gas PL,0.033365
5808,Houston Pipeline Co,0.107879
5809,Transcontinental Gas PL,0.348803
5810,Houston Pipeline Co,0.070283
5811,Transcontinental Gas PL,0.024902
5812,Houston Pipeline Co,0.058388
5813,Transcontinental Gas PL,0.112066
5814,Houston Pipeline Co,0.066663
5815,Transcontinental Gas PL,0.183086
5816,Houston Pipeline Co,0.009565
5817,Transcontinental Gas PL,0.177865
5818,Houston Pipeline Co,0.034506
5819,Transcontinental Gas PL,0.260711
5820,Houston Pipeline Co,0.006087
5821,Transcontinental Gas PL,0.369507
5822,Houston Pipeline Co,0.01267
5823,Houston Pipeline Co,0.014668
5824,Transcontinental Gas PL,0.071014
5825,Houston Pipeline Co,0.019238
5826,Transcontinental Gas PL,0.242779
5827,Houston Pipeline Co,0.024878
5828,Transcontinental Gas PL,0.337118
5829,Houston Pipeline Co,0.036372
5830,Transcontinental Gas PL,0.235839
5831,Houston Pipeline Co,0.076615
5832,Houston Pipeline Co,0.027838
5833,Transcontinental Gas PL,0.109022
5834,Houston Pipeline Co,0.019027
5835,Transcontinental Gas PL,0.301302
5836,Houston Pipeline Co,0.02311
5837,Transcontinental Gas PL,0.062867
5838,Houston Pipeline Co,0.01215
5839,Transcontinental Gas PL,0.011462
5840,Houston Pipeline Co,0.040272
5841,Transcontinental Gas PL,0.010223
5842,Houston Pipeline Co,0.028781
5843,Transcontinental Gas PL,0.009578
5844,Houston Pipeline Co,0.036792
5845,Transcontinental Gas PL,0.014951
5846,Houston Pipeline Co,0.024222
5847,Transcontinental Gas PL,0.018294
5848,Houston Pipeline Co,0.02003
5849,Transcontinental Gas PL,0.015381
5850,Houston Pipeline Co,0.016783
5851,Transcontinental Gas PL,0.013736
5852,Houston Pipeline Co,0.051541
5853,Transcontinental Gas PL,0.038944
5854,Houston Pipeline Co,0.00186
5855,Transcontinental Gas PL,0.03277
5856,Houston Pipeline Co,0.020958
5857,Transcontinental Gas PL,0.01564
5858,Houston Pipeline Co,0.041368
5859,Transcontinental Gas PL,0.052197
5860,Houston Pipeline Co,0.021562
5861,Transcontinental Gas PL,0.098381
5862,Houston Pipeline Co,0.021011
5863,Transcontinental Gas PL,0.016719
5864,Houston Pipeline Co,0.013522
5865,Transcontinental Gas PL,0.102742
5866,Houston Pipeline Co,0.01027
5867,Transcontinental Gas PL,0.068139
5868,Houston Pipeline Co,0.299878
5869,Transcontinental Gas PL,0.074314
5870,Houston Pipeline Co,0.122285
5871,Transcontinental Gas PL,0.063226
5872,Houston Pipeline Co,0.029438
5873,Transcontinental Gas PL,0.051935
5874,Houston Pipeline Co,0.036523
5875,Transcontinental Gas PL,0.039925
5876,Houston Pipeline Co,0.251227
5877,Transcontinental Gas PL,0.021645
5878,Transcontinental Gas PL,0.021504
5879,Houston Pipeline Co,0.022695
5880,Transcontinental Gas PL,0.05821
5881,Houston Pipeline Co,0.03957
5882,Transcontinental Gas PL,0.143722
5883,Houston Pipeline Co,0.021528
5884,Transcontinental Gas PL,0.010108
5885,Houston Pipeline Co,0.022445
5886,Transcontinental Gas PL,0.051564
5887,Houston Pipeline Co,0.30045
5888,Transcontinental Gas PL,0.02473
5889,Houston Pipeline Co,0.200522
5890,Transcontinental Gas PL,0.050137
5891,Houston Pipeline Co,0.101917
5892,Transcontinental Gas PL,0.121468
5893,Houston Pipeline Co,0.243839
5894,Transcontinental Gas PL,0.118341
5895,Houston Pipeline Co,0.118638
5896,Transcontinental Gas PL,0.050821
5897,Houston Pipeline Co,0.240077
5898,Houston Pipeline Co,0.109902
5899,Houston Pipeline Co,0.124069
5900,Houston Pipeline Co,0.209326
5901,Energy Transfer LP,0.063467
5902,Energy Transfer LP,0.914261
5903,Energy Transfer LP,0.65295
5904,Energy Transfer LP,0.127366
5905,Energy Transfer LP,0.737506
5906,Energy Transfer LP,0.204215
5907,Energy Transfer LP,0.440838
5908,Energy Transfer LP,0.46829
5909,Energy Transfer LP,0.24886
5910,Energy Transfer LP,0.337133
5911,Energy Transfer LP,0.575637
5912,Energy Transfer LP,0.279853
5913,Energy Transfer LP,0.055533
5914,Energy Transfer LP,0.293625
5915,Energy Transfer Co,0.007019
5916,Energy Transfer Co,0.019795
5917,Energy Transfer Co,0.0215
5918,Energy Transfer Co,0.069927
5919,Energy Transfer Co,0.020113
5920,Energy Transfer Co,0.23339
5921,Energy Transfer Co,0.023383
5922,Energy Transfer Co,0.081298
5923,Energy Transfer Co,0.019981
5924,Energy Transfer Co,0.211192
5925,Energy Transfer Co,0.47298
5926,Energy Transfer Co,0.096184
5927,Energy Transfer Co,0.089938
5928,Energy Transfer Co,0.234249
5929,Energy Transfer Co,0.323681
5930,Energy Transfer Co,0.213049
5931,Energy Transfer Co,0.065964
5932,Energy Transfer Co,0.072767
5933,Energy Transfer Co,0.046604
5934,Energy Transfer Co,0.014323
5935,Energy Transfer Co,0.130099
5936,Energy Transfer Co,0.130709
5937,Energy Transfer Co,0.124743
5938,Energy Transfer Co,0.088927
5939,Energy Transfer Co,0.077901
5940,Energy Transfer Co,0.02749
5941,Energy Transfer Co,0.033268
5942,Energy Transfer Co,0.016366
5943,Energy Transfer Co,0.035739
5944,Energy Transfer Co,0.027546
5945,Energy Transfer Co,0.037609
5946,Energy Transfer Co,0.048901
5947,Energy Transfer Co,0.036264
5948,Energy Transfer Co,0.001753
5949,Energy Transfer Co,0.055146
5950,Energy Transfer Co,0.039167
5951,Energy Transfer Co,0.034717
5952,Energy Transfer Co,0.023698
5953,Energy Transfer Co,0.05084
5954,Energy Transfer Co,0.161971
5955,Energy Transfer Co,0.343146
5956,Energy Transfer Co,0.034797
5957,Energy Transfer Co,0.101424
5958,Energy Transfer Co,0.207921
5959,Energy Transfer Co,0.212738
5960,Energy Transfer Co,0.137513
5961,Energy Transfer Co,0.09758
5962,Energy Transfer Co,0.015612
5963,Energy Transfer Co,0.158405
5964,Energy Transfer Co,0.038467
5965,Energy Transfer Co,0.104439
5966,Energy Transfer Co,0.156551
5967,Energy Transfer Co,0.041093
5968,Energy Transfer Co,0.066594
5969,Energy Transfer Co,0.754043
5970,Energy Transfer Co,0.12746
5971,Energy Transfer Co,0.144616
5972,Energy Transfer Co,0.117542
5973,Energy Transfer Co,0.035633
5974,Energy Transfer Co,0.010269
5975,Energy Transfer Co,0.054734
5976,Energy Transfer Co,0.035038
5977,Energy Transfer Co,0.050559
5978,Oasis / Energy Transfer Co,0.022572
5979,Oasis / Energy Transfer Co,0.419611
5980,Oasis / Energy Transfer Co,0.058284
5981,Oasis / Energy Transfer Co,0.613633
5982,Oasis / Energy Transfer Co,0.052498
5983,Oasis / Energy Transfer Co,0.047471
5984,Oasis / Energy Transfer Co,0.143459
5985,Oasis / Energy Transfer Co,0.362733
5986,Oasis / Energy Transfer Co,0.124633
5987,Oasis / Energy Transfer Co,0.179274
5988,Energy Transfer LP,0.183848
5989,Energy Transfer LP,0.701254
5990,Energy Transfer LP,1.567273
5991,Coral Energy Pipeline Co,0.018243
5992,Coral Energy Pipeline Co,0.015162
5993,Coral Energy Pipeline Co,0.017786
5994,Coral Energy Pipeline Co,0.030641
5995,Coral Energy Pipeline Co,0.036343
5996,Coral Energy Pipeline Co,0.019941
5997,Coral Energy Pipeline Co,0.009556
5998,Coral Energy Pipeline Co,0.019009
5999,Coral Energy Pipeline Co,0.013797
6000,Coral Energy Pipeline Co,0.048817
6001,Kinder Morgan Texas Pipeline Co,0.030966
6002,Kinder Morgan Texas Pipeline Co,0.17753
6003,Kinder Morgan Texas Pipeline Co,0.092245
6004,Kinder Morgan Texas Pipeline Co,0.036595
6005,Kinder Morgan Texas Pipeline Co,0.046134
6006,Kinder Morgan Texas Pipeline Co,0.0889
6007,Kinder Morgan Texas Pipeline Co,0.034324
6008,Kinder Morgan Texas Pipeline Co,0.015429
6009,Kinder Morgan Texas Pipeline Co,0.021798
6010,Kinder Morgan Texas Pipeline Co,0.083643
6011,Kinder Morgan Texas Pipeline Co,0.04943
6012,Kinder Morgan Texas Pipeline Co,0.075453
6013,Kinder Morgan Texas Pipeline Co,0.065395
6014,Kinder Morgan Texas Pipeline Co,0.12456
6015,Kinder Morgan Texas Pipeline Co,0.032948
6016,Kinder Morgan Texas Pipeline Co,0.427904
6017,Kinder Morgan Texas Pipeline Co,0.091743
6018,Kinder Morgan Texas Pipeline Co,0.385344
6019,Kinder Morgan Texas Pipeline Co,0.059309
6020,Kinder Morgan Texas Pipeline Co,0.07701
6021,Kinder Morgan Texas Pipeline Co,0.276006
6022,Kinder Morgan Texas Pipeline Co,0.119508
6023,Kinder Morgan Texas Pipeline Co,0.291432
6024,Kinder Morgan Texas Pipeline Co,0.045097
6025,Kinder Morgan Texas Pipeline Co,0.053501
6026,Kinder Morgan Texas Pipeline Co,0.165043
6027,Kinder Morgan Texas Pipeline Co,0.028631
6028,Kinder Morgan Texas Pipeline Co,0.036138
6029,Kinder Morgan Texas Pipeline Co,0.154529
6030,Kinder Morgan Texas Pipeline Co,0.011818
6031,Kinder Morgan Texas Pipeline Co,0.008446
6032,Kinder Morgan Texas Pipeline Co,0.025089
6033,Kinder Morgan Texas Pipeline Co,0.01338
6034,Kinder Morgan Texas Pipeline Co,0.04159
6035,Kinder Morgan Texas Pipeline Co,0.106488
6036,Kinder Morgan Texas Pipeline Co,0.139431
6037,Kinder Morgan Texas Pipeline Co,0.2415
6038,Kinder Morgan Texas Pipeline Co,0.03441
6039,Kinder Morgan Texas Pipeline Co,0.023194
6040,Kinder Morgan Texas Pipeline Co,0.024581
6041,Kinder Morgan Texas Pipeline Co,0.027117
6042,Kinder Morgan Texas Pipeline Co,0.065148
6043,Kinder Morgan Texas Pipeline Co,0.216981
6044,Kinder Morgan Texas Pipeline Co,0.001456
6045,Kinder Morgan Texas Pipeline Co,0.038859
6046,Kinder Morgan Texas Pipeline Co,0.0372
6047,Kinder Morgan Texas Pipeline Co,0.072041
6048,Kinder Morgan Texas Pipeline Co,0.037225
6049,Kinder Morgan Texas Pipeline Co,0.064241
6050,Kinder Morgan Texas Pipeline Co,0.157614
6051,Kinder Morgan Texas Pipeline Co,0.08324
6052,Kinder Morgan Texas Pipeline Co,0.016778
6053,Kinder Morgan Texas Pipeline Co,0.102336
6054,Kinder Morgan Texas Pipeline Co,0.04292
6055,Kinder Morgan Texas Pipeline Co,0.02788
6056,Kinder Morgan Texas Pipeline Co,0.043563
6057,Kinder Morgan Texas Pipeline Co,0.034743
6058,Kinder Morgan Texas Pipeline Co,0.086698
6059,Kinder Morgan Texas Pipeline Co,0.078098
6060,Kinder Morgan Texas Pipeline Co,0.373566
6061,Kinder Morgan Texas Pipeline Co,0.09263
6062,Kinder Morgan Texas Pipeline Co,0.020455
6063,Kinder Morgan Texas Pipeline Co,0.03319
6064,Kinder Morgan Texas Pipeline Co,0.037014
6065,Kinder Morgan Texas Pipeline Co,0.190765
6066,Kinder Morgan Texas Pipeline Co,0.019088
6067,Kinder Morgan Texas Pipeline Co,0.044847
6068,Kinder Morgan Texas Pipeline Co,0.077019
6069,Kinder Morgan Texas Pipeline Co,0.093911
6070,Kinder Morgan Texas Pipeline Co,0.077719
6071,Kinder Morgan Texas Pipeline Co,0.108714
6072,Kinder Morgan Texas Pipeline Co,0.060028
6073,Kinder Morgan Texas Pipeline Co,0.112628
6074,Kinder Morgan Texas Pipeline Co,0.064835
6075,Kinder Morgan Texas Pipeline Co,0.034711
6076,Kinder Morgan Texas Pipeline Co,0.015328
6077,Kinder Morgan Texas Pipeline Co,0.089715
6078,Kinder Morgan Texas Pipeline Co,0.015422
6079,Kinder Morgan Texas Pipeline Co,0.098107
6080,Kinder Morgan Texas Pipeline Co,0.046327
6081,Kinder Morgan Texas Pipeline Co,0.016436
6082,Kinder Morgan Texas Pipeline Co,0.023168
6083,Kinder Morgan Texas Pipeline Co,0.0144
6084,Kinder Morgan Texas Pipeline Co,0.030425
6085,Kinder Morgan Texas Pipeline Co,0.037741
6086,Kinder Morgan Texas Pipeline Co,0.013786
6087,Kinder Morgan Texas Pipeline Co,0.006835
6088,Kinder Morgan Texas Pipeline Co,0.031508
6089,Kinder Morgan Texas Pipeline Co,0.00859
6090,Kinder Morgan Texas Pipeline Co,0.03817
6091,Kinder Morgan Texas Pipeline Co,0.075206
6092,Kinder Morgan Texas Pipeline Co,0.01833
6093,Kinder Morgan Texas Pipeline Co,0.013469
6094,Kinder Morgan Texas Pipeline Co,0.010423
6095,Kinder Morgan Texas Pipeline Co,0.016521
6096,Kinder Morgan Texas Pipeline Co,0.015199
6097,Kinder Morgan Texas Pipeline Co,0.087163
6098,Kinder Morgan Texas Pipeline Co,0.026877
6099,Kinder Morgan Texas Pipeline Co,0.381531
6100,Kinder Morgan Texas Pipeline Co,0.027105
6101,Gulf South Pipeline Co,0.03129
6102,Gulf South Pipeline Co,0.114151
6103,Gulf South Pipeline Co,0.071241
6104,Gulf South Pipeline Co,0.21008
6105,Gulf South Pipeline Co,0.106961
6106,Gulf South Pipeline Co,0.052488
6107,Gulf South Pipeline Co,0.010616
6108,Gulf South Pipeline Co,0.009425
6109,Gulf South Pipeline Co,0.011707
6110,Gulf South Pipeline Co,0.100075
6111,Gulf South Pipeline Co,0.010918
6112,Gulf South Pipeline Co,0.02817
6113,Gulf South Pipeline Co,0.040694
6114,Gulf South Pipeline Co,0.011697
6115,Gulf South Pipeline Co,0.016275
6116,Gulf South Pipeline Co,0.053689
6117,Gulf South Pipeline Co,0.011228
6118,Gulf South Pipeline Co,0.024959
6119,Gulf South Pipeline Co,0.013033
6120,Gulf South Pipeline Co,0.057693
6121,Gulf South Pipeline Co,0.038263
